,G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Tue, Oct 19, 2021",7:30p,,Box Score,,Brooklyn Nets,W,,127,104,1,0,W 1,
1,2,"Thu, Oct 21, 2021",8:00p,,Box Score,@,Miami Heat,L,,95,137,1,1,L 1,
2,3,"Sat, Oct 23, 2021",8:30p,,Box Score,@,San Antonio Spurs,W,,121,111,2,1,W 1,
3,4,"Mon, Oct 25, 2021",7:00p,,Box Score,@,Indiana Pacers,W,,119,109,3,1,W 2,
4,5,"Wed, Oct 27, 2021",8:00p,,Box Score,,Minnesota Timberwolves,L,,108,113,3,2,L 1,
5,6,"Sat, Oct 30, 2021",8:00p,,Box Score,,San Antonio Spurs,L,,93,102,3,3,L 2,
6,7,"Sun, Oct 31, 2021",7:00p,,Box Score,,Utah Jazz,L,,95,107,3,4,L 3,
7,8,"Tue, Nov 2, 2021",7:00p,,Box Score,@,Detroit Pistons,W,,117,89,4,4,W 1,
8,9,"Fri, Nov 5, 2021",7:30p,,Box Score,,New York Knicks,L,,98,113,4,5,L 1,
9,10,"Sun, Nov 7, 2021",6:00p,,Box Score,@,Washington Wizards,L,,94,101,4,6,L 2,
10,11,"Tue, Nov 9, 2021",7:30p,,Box Score,@,Philadelphia 76ers,W,,118,109,5,6,W 1,
11,12,"Wed, Nov 10, 2021",7:30p,,Box Score,@,New York Knicks,W,,112,100,6,6,W 2,
12,13,"Fri, Nov 12, 2021",7:30p,,Box Score,@,Boston Celtics,L,OT,113,122,6,7,L 1,
13,14,"Sun, Nov 14, 2021",6:00p,,Box Score,@,Atlanta Hawks,L,,100,120,6,8,L 2,
14,15,"Wed, Nov 17, 2021",7:30p,,Box Score,,Los Angeles Lakers,W,,109,102,7,8,W 1,
15,16,"Fri, Nov 19, 2021",8:00p,,Box Score,,Oklahoma City Thunder,W,,96,89,8,8,W 2,
16,17,"Sat, Nov 20, 2021",8:00p,,Box Score,,Orlando Magic,W,,117,108,9,8,W 3,
17,18,"Mon, Nov 22, 2021",8:00p,,Box Score,,Orlando Magic,W,,123,92,10,8,W 4,
18,19,"Wed, Nov 24, 2021",8:00p,,Box Score,,Detroit Pistons,W,,114,93,11,8,W 5,
19,20,"Fri, Nov 26, 2021",9:00p,,Box Score,@,Denver Nuggets,W,,120,109,12,8,W 6,
20,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,21,"Sun, Nov 28, 2021",5:00p,,Box Score,@,Indiana Pacers,W,,118,100,13,8,W 7,
22,22,"Wed, Dec 1, 2021",8:00p,,Box Score,,Charlotte Hornets,W,,127,125,14,8,W 8,
23,23,"Thu, Dec 2, 2021",7:30p,,Box Score,@,Toronto Raptors,L,,93,97,14,9,L 1,
24,24,"Sat, Dec 4, 2021",8:00p,,Box Score,,Miami Heat,W,,124,102,15,9,W 1,
25,25,"Mon, Dec 6, 2021",8:00p,,Box Score,,Cleveland Cavaliers,W,,112,104,16,9,W 2,
26,26,"Wed, Dec 8, 2021",7:30p,,Box Score,@,Miami Heat,L,,104,113,16,10,L 1,
27,27,"Fri, Dec 10, 2021",8:00p,,Box Score,@,Houston Rockets,W,,123,114,17,10,W 1,
28,28,"Sun, Dec 12, 2021",12:00p,,Box Score,@,New York Knicks,W,,112,97,18,10,W 2,
29,29,"Mon, Dec 13, 2021",7:30p,,Box Score,@,Boston Celtics,L,,103,117,18,11,L 1,
30,30,"Wed, Dec 15, 2021",8:00p,,Box Score,,Indiana Pacers,W,,114,99,19,11,W 1,
31,31,"Fri, Dec 17, 2021",8:00p,,Box Score,@,New Orleans Pelicans,L,OT,112,116,19,12,L 1,
32,32,"Sat, Dec 18, 2021",9:00p,,Box Score,,Cleveland Cavaliers,L,,90,119,19,13,L 2,
33,33,"Wed, Dec 22, 2021",8:00p,,Box Score,,Houston Rockets,W,,126,106,20,13,W 1,
34,34,"Thu, Dec 23, 2021",8:30p,,Box Score,@,Dallas Mavericks,W,,102,95,21,13,W 2,
35,35,"Sat, Dec 25, 2021",2:30p,,Box Score,,Boston Celtics,W,,117,113,22,13,W 3,
36,36,"Tue, Dec 28, 2021",7:00p,,Box Score,@,Orlando Magic,W,,127,110,23,13,W 4,
