,G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Wed, Oct 20, 2021",8:30p,,Box Score,@,San Antonio Spurs,L,,97,123,0,1,L 1,
1,2,"Fri, Oct 22, 2021",7:00p,,Box Score,,New York Knicks,L,,96,121,0,2,L 2,
2,3,"Sun, Oct 24, 2021",7:00p,,Box Score,@,New York Knicks,W,,110,104,1,2,W 1,
3,4,"Mon, Oct 25, 2021",7:30p,,Box Score,@,Miami Heat,L,,90,107,1,3,L 1,
4,5,"Wed, Oct 27, 2021",7:00p,,Box Score,,Charlotte Hornets,L,,111,120,1,4,L 2,
5,6,"Fri, Oct 29, 2021",7:00p,,Box Score,@,Toronto Raptors,L,,109,110,1,5,L 3,
6,7,"Sat, Oct 30, 2021",7:00p,,Box Score,@,Detroit Pistons,L,,103,110,1,6,L 4,
7,8,"Mon, Nov 1, 2021",8:00p,,Box Score,@,Minnesota Timberwolves,W,,115,97,2,6,W 1,
8,9,"Wed, Nov 3, 2021",7:00p,,Box Score,,Boston Celtics,L,,79,92,2,7,L 1,
9,10,"Fri, Nov 5, 2021",7:00p,,Box Score,,San Antonio Spurs,L,,89,102,2,8,L 2,
10,11,"Sun, Nov 7, 2021",6:00p,,Box Score,,Utah Jazz,W,,107,100,3,8,W 1,
11,12,"Wed, Nov 10, 2021",7:00p,,Box Score,,Brooklyn Nets,L,,90,123,3,9,L 1,
12,13,"Sat, Nov 13, 2021",7:00p,,Box Score,,Washington Wizards,L,,92,104,3,10,L 2,
13,14,"Mon, Nov 15, 2021",7:30p,,Box Score,@,Atlanta Hawks,L,,111,129,3,11,L 3,
14,15,"Wed, Nov 17, 2021",7:30p,,Box Score,@,New York Knicks,W,,104,98,4,11,W 1,
15,16,"Fri, Nov 19, 2021",7:30p,,Box Score,@,Brooklyn Nets,L,,113,115,4,12,L 1,
16,17,"Sat, Nov 20, 2021",8:00p,,Box Score,@,Milwaukee Bucks,L,,108,117,4,13,L 2,
17,18,"Mon, Nov 22, 2021",8:00p,,Box Score,@,Milwaukee Bucks,L,,92,123,4,14,L 3,
18,19,"Wed, Nov 24, 2021",7:00p,,Box Score,,Charlotte Hornets,L,,99,106,4,15,L 4,
19,20,"Fri, Nov 26, 2021",7:00p,,Box Score,,Chicago Bulls,L,,88,123,4,16,L 5,
20,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,21,"Sat, Nov 27, 2021",8:00p,,Box Score,@,Cleveland Cavaliers,L,,92,105,4,17,L 6,
22,22,"Mon, Nov 29, 2021",7:00p,,Box Score,@,Philadelphia 76ers,L,,96,101,4,18,L 7,
23,23,"Wed, Dec 1, 2021",7:00p,,Box Score,,Denver Nuggets,W,,108,103,5,18,W 1,
24,24,"Fri, Dec 3, 2021",8:00p,,Box Score,@,Houston Rockets,L,,116,118,5,19,L 1,
25,25,"Mon, Dec 6, 2021",10:00p,,Box Score,@,Golden State Warriors,L,,95,126,5,20,L 2,
26,26,"Wed, Dec 8, 2021",10:00p,,Box Score,@,Sacramento Kings,L,,130,142,5,21,L 3,
27,27,"Sat, Dec 11, 2021",3:30p,,Box Score,@,Los Angeles Clippers,L,,104,106,5,22,L 4,
28,28,"Sun, Dec 12, 2021",9:30p,,Box Score,@,Los Angeles Lakers,L,,94,106,5,23,L 5,
29,29,"Wed, Dec 15, 2021",7:00p,,Box Score,,Atlanta Hawks,L,,99,111,5,24,L 6,
30,30,"Fri, Dec 17, 2021",7:00p,,Box Score,,Miami Heat,L,,105,115,5,25,L 7,
31,31,"Sat, Dec 18, 2021",7:30p,,Box Score,@,Brooklyn Nets,W,,100,93,6,25,W 1,
32,32,"Wed, Dec 22, 2021",7:30p,,Box Score,@,Atlanta Hawks,W,,104,98,7,25,W 2,
33,33,"Thu, Dec 23, 2021",7:00p,,Box Score,,New Orleans Pelicans,L,,104,110,7,26,L 1,
34,34,"Sun, Dec 26, 2021",3:30p,,Box Score,@,Miami Heat,L,,83,93,7,27,L 2,
35,35,"Tue, Dec 28, 2021",7:00p,,Box Score,,Milwaukee Bucks,L,,110,127,7,28,L 3,
36,36,"Thu, Dec 30, 2021",7:00p,,Box Score,,Milwaukee Bucks,L,,118,136,7,29,L 4,
37,37,"Sun, Jan 2, 2022",6:00p,,Box Score,@,Boston Celtics,L,OT,111,116,7,30,L 5,
38,38,"Mon, Jan 3, 2022",8:00p,,Box Score,@,Chicago Bulls,L,,98,102,7,31,L 6,
39,39,"Wed, Jan 5, 2022",7:00p,,Box Score,,Philadelphia 76ers,L,,106,116,7,32,L 7,
40,40,"Sat, Jan 8, 2022",7:00p,,Box Score,@,Detroit Pistons,L,,92,97,7,33,L 8,
41,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
42,41,"Sun, Jan 9, 2022",6:00p,,Box Score,,Washington Wizards,L,,100,102,7,34,L 9,
43,42,"Wed, Jan 12, 2022",7:00p,,Box Score,@,Washington Wizards,L,,106,112,7,35,L 10,
44,43,"Fri, Jan 14, 2022",7:00p,,Box Score,@,Charlotte Hornets,W,,116,109,8,35,W 1,
45,44,"Sat, Jan 15, 2022",9:30p,,Box Score,@,Dallas Mavericks,L,,92,108,8,36,L 1,
46,45,"Mon, Jan 17, 2022",7:00p,,Box Score,,Portland Trail Blazers,L,,88,98,8,37,L 2,
47,46,"Wed, Jan 19, 2022",7:00p,,Box Score,@,Philadelphia 76ers,L,,110,123,8,38,L 3,
48,47,"Fri, Jan 21, 2022",7:00p,,Box Score,,Los Angeles Lakers,L,,105,116,8,39,L 4,
49,48,"Sun, Jan 23, 2022",6:00p,,Box Score,,Chicago Bulls,W,,114,95,9,39,W 1,
50,49,"Wed, Jan 26, 2022",7:00p,,Box Score,,Los Angeles Clippers,L,,102,111,9,40,L 1,
51,50,"Fri, Jan 28, 2022",7:00p,,Box Score,,Detroit Pistons,W,,119,103,10,40,W 1,
52,51,"Sun, Jan 30, 2022",7:00p,,Box Score,,Dallas Mavericks,W,,110,108,11,40,W 2,
53,52,"Tue, Feb 1, 2022",8:00p,,Box Score,@,Chicago Bulls,L,,115,126,11,41,L 1,
54,53,"Wed, Feb 2, 2022",7:00p,,Box Score,@,Indiana Pacers,W,,119,118,12,41,W 1,
55,54,"Sat, Feb 5, 2022",5:00p,,Box Score,,Memphis Grizzlies,L,,115,135,12,42,L 1,
56,55,"Sun, Feb 6, 2022",6:00p,,Box Score,,Boston Celtics,L,,83,116,12,43,L 2,
57,56,"Tue, Feb 8, 2022",10:00p,,Box Score,@,Portland Trail Blazers,W,,113,95,13,43,W 1,
58,57,"Fri, Feb 11, 2022",9:00p,,Box Score,@,Utah Jazz,L,,99,114,13,44,L 1,
59,58,"Sat, Feb 12, 2022",9:00p,,Box Score,@,Phoenix Suns,L,,105,132,13,45,L 2,
60,59,"Mon, Feb 14, 2022",9:00p,,Box Score,@,Denver Nuggets,L,,111,121,13,46,L 3,
61,60,"Wed, Feb 16, 2022",7:00p,,Box Score,,Atlanta Hawks,L,,109,130,13,47,L 4,
62,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
63,61,"Fri, Feb 25, 2022",7:00p,,Box Score,,Houston Rockets,W,,119,111,14,47,W 1,
64,62,"Mon, Feb 28, 2022",7:00p,,Box Score,,Indiana Pacers,W,,119,103,15,47,W 2,
65,63,"Wed, Mar 2, 2022",7:00p,,Box Score,,Indiana Pacers,L,OT,114,122,15,48,L 1,
66,64,"Fri, Mar 4, 2022",7:30p,,Box Score,@,Toronto Raptors,W,,103,97,16,48,W 1,
67,65,"Sat, Mar 5, 2022",8:00p,,Box Score,@,Memphis Grizzlies,L,,96,124,16,49,L 1,
