,G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Wed, Oct 20, 2021",7:30p,,Box Score,@,Toronto Raptors,W,,98,83,1,0,W 1,
1,2,"Fri, Oct 22, 2021",7:00p,,Box Score,,Indiana Pacers,W,OT,135,134,2,0,W 2,
2,3,"Mon, Oct 25, 2021",7:30p,,Box Score,@,Brooklyn Nets,L,,90,104,2,1,L 1,
3,4,"Wed, Oct 27, 2021",7:30p,,Box Score,@,Boston Celtics,W,,116,107,3,1,W 1,
4,5,"Thu, Oct 28, 2021",7:00p,,Box Score,,Atlanta Hawks,W,,122,111,4,1,W 2,
5,6,"Sat, Oct 30, 2021",5:00p,,Box Score,,Boston Celtics,W,2OT,115,112,5,1,W 3,
6,7,"Mon, Nov 1, 2021",7:30p,,Box Score,@,Atlanta Hawks,L,,111,118,5,2,L 1,
7,8,"Wed, Nov 3, 2021",7:00p,,Box Score,,Toronto Raptors,L,,100,109,5,3,L 2,
8,9,"Fri, Nov 5, 2021",7:00p,,Box Score,,Memphis Grizzlies,W,,115,87,6,3,W 1,
9,10,"Sun, Nov 7, 2021",6:00p,,Box Score,,Milwaukee Bucks,W,,101,94,7,3,W 2,
10,11,"Wed, Nov 10, 2021",7:00p,,Box Score,@,Cleveland Cavaliers,W,,97,94,8,3,W 3,
11,12,"Sat, Nov 13, 2021",7:00p,,Box Score,@,Orlando Magic,W,,104,92,9,3,W 4,
12,13,"Mon, Nov 15, 2021",7:00p,,Box Score,,New Orleans Pelicans,W,,105,100,10,3,W 5,
13,14,"Wed, Nov 17, 2021",7:00p,,Box Score,@,Charlotte Hornets,L,,87,97,10,4,L 1,
14,15,"Thu, Nov 18, 2021",7:30p,,Box Score,@,Miami Heat,L,,97,112,10,5,L 2,
15,16,"Sat, Nov 20, 2021",7:00p,,Box Score,,Miami Heat,W,,103,100,11,5,W 1,
16,17,"Mon, Nov 22, 2021",7:00p,,Box Score,,Charlotte Hornets,L,,103,109,11,6,L 1,
17,18,"Wed, Nov 24, 2021",8:00p,,Box Score,@,New Orleans Pelicans,L,,102,127,11,7,L 2,
18,19,"Fri, Nov 26, 2021",8:00p,,Box Score,@,Oklahoma City Thunder,W,,101,99,12,7,W 1,
19,20,"Sat, Nov 27, 2021",8:30p,,Box Score,@,Dallas Mavericks,W,,120,114,13,7,W 2,
20,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,21,"Mon, Nov 29, 2021",8:30p,,Box Score,@,San Antonio Spurs,L,,99,116,13,8,L 1,
22,22,"Wed, Dec 1, 2021",7:00p,,Box Score,,Minnesota Timberwolves,W,,115,107,14,8,W 1,
23,23,"Fri, Dec 3, 2021",7:00p,,Box Score,,Cleveland Cavaliers,L,,101,116,14,9,L 1,
24,24,"Sun, Dec 5, 2021",6:00p,,Box Score,@,Toronto Raptors,L,,90,102,14,10,L 2,
25,25,"Mon, Dec 6, 2021",7:00p,,Box Score,@,Indiana Pacers,L,,110,116,14,11,L 3,
26,26,"Wed, Dec 8, 2021",7:00p,,Box Score,@,Detroit Pistons,W,OT,119,116,15,11,W 1,
27,27,"Sat, Dec 11, 2021",7:00p,,Box Score,,Utah Jazz,L,,98,123,15,12,L 1,
28,28,"Mon, Dec 13, 2021",9:00p,,Box Score,@,Denver Nuggets,L,,107,113,15,13,L 2,
29,29,"Wed, Dec 15, 2021",10:00p,,Box Score,@,Sacramento Kings,L,,105,119,15,14,L 3,
30,30,"Thu, Dec 16, 2021",9:00p,,Box Score,@,Phoenix Suns,L,,98,118,15,15,L 4,
31,31,"Sat, Dec 18, 2021",9:00p,,Box Score,@,Utah Jazz,W,,109,103,16,15,W 1,
32,32,"Thu, Dec 23, 2021",7:30p,,Box Score,@,New York Knicks,W,,124,117,17,15,W 2,
33,33,"Sun, Dec 26, 2021",6:00p,,Box Score,,Philadelphia 76ers,L,,96,117,17,16,L 1,
