,G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Wed, Oct 20, 2021",8:00p,,Box Score,@,New Orleans Pelicans,W,,117,97,1,0,W 1,
1,2,"Fri, Oct 22, 2021",7:30p,,Box Score,,Brooklyn Nets,L,,109,114,1,1,L 1,
2,3,"Sun, Oct 24, 2021",7:00p,,Box Score,@,Oklahoma City Thunder,W,,115,103,2,1,W 1,
3,4,"Tue, Oct 26, 2021",7:30p,,Box Score,@,New York Knicks,L,,99,112,2,2,L 1,
4,5,"Thu, Oct 28, 2021",7:00p,,Box Score,,Detroit Pistons,W,,110,102,3,2,W 1,
5,6,"Sat, Oct 30, 2021",7:30p,,Box Score,,Atlanta Hawks,W,,122,94,4,2,W 2,
6,7,"Mon, Nov 1, 2021",7:00p,,Box Score,,Portland Trail Blazers,W,,113,103,5,2,W 3,
7,8,"Wed, Nov 3, 2021",7:00p,,Box Score,,Chicago Bulls,W,,103,98,6,2,W 4,
8,9,"Thu, Nov 4, 2021",7:00p,,Box Score,@,Detroit Pistons,W,,109,98,7,2,W 5,
9,10,"Sat, Nov 6, 2021",8:00p,,Box Score,@,Chicago Bulls,W,,114,105,8,2,W 6,
10,11,"Mon, Nov 8, 2021",7:00p,,Box Score,,New York Knicks,L,,96,103,8,3,L 1,
11,12,"Tue, Nov 9, 2021",7:30p,,Box Score,,Milwaukee Bucks,L,,109,118,8,4,L 2,
12,13,"Thu, Nov 11, 2021",7:00p,,Box Score,,Toronto Raptors,L,,109,115,8,5,L 3,
13,14,"Sat, Nov 13, 2021",7:00p,,Box Score,@,Indiana Pacers,L,,113,118,8,6,L 4,
14,15,"Tue, Nov 16, 2021",10:00p,,Box Score,@,Utah Jazz,L,,85,120,8,7,L 5,
15,16,"Thu, Nov 18, 2021",9:00p,,Box Score,@,Denver Nuggets,W,,103,89,9,7,W 1,
16,17,"Sat, Nov 20, 2021",10:00p,,Box Score,@,Portland Trail Blazers,L,,111,118,9,8,L 1,
17,18,"Mon, Nov 22, 2021",10:00p,,Box Score,@,Sacramento Kings,W,,102,94,10,8,W 1,
18,19,"Wed, Nov 24, 2021",10:00p,,Box Score,@,Golden State Warriors,L,,96,116,10,9,L 1,
19,20,"Sat, Nov 27, 2021",6:00p,,Box Score,,Minnesota Timberwolves,L,2OT,120,121,10,10,L 2,
20,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,21,"Mon, Nov 29, 2021",7:00p,,Box Score,,Orlando Magic,W,,101,96,11,10,W 1,
22,22,"Wed, Dec 1, 2021",7:30p,,Box Score,@,Boston Celtics,L,,87,88,11,11,L 1,
23,23,"Fri, Dec 3, 2021",7:30p,,Box Score,@,Atlanta Hawks,W,,98,96,12,11,W 1,
24,24,"Mon, Dec 6, 2021",7:00p,,Box Score,@,Charlotte Hornets,W,OT,127,124,13,11,W 2,
25,25,"Wed, Dec 8, 2021",7:00p,,Box Score,@,Charlotte Hornets,W,,110,106,14,11,W 3,
26,26,"Thu, Dec 9, 2021",7:00p,,Box Score,,Utah Jazz,L,,96,118,14,12,L 1,
27,27,"Sat, Dec 11, 2021",8:30p,,Box Score,,Golden State Warriors,W,,102,93,15,12,W 1,
28,28,"Mon, Dec 13, 2021",8:00p,,Box Score,@,Memphis Grizzlies,L,,91,126,15,13,L 1,
29,29,"Wed, Dec 15, 2021",7:00p,,Box Score,,Miami Heat,L,,96,101,15,14,L 2,
30,30,"Thu, Dec 16, 2021",7:30p,,Box Score,@,Brooklyn Nets,L,,105,114,15,15,L 3,
31,31,"Mon, Dec 20, 2021",7:30p,,Box Score,@,Boston Celtics,W,,108,103,16,15,W 1,
32,32,"Thu, Dec 23, 2021",7:00p,,Box Score,,Atlanta Hawks,L,,96,98,16,16,L 1,
33,33,"Sun, Dec 26, 2021",6:00p,,Box Score,@,Washington Wizards,W,,117,96,17,16,W 1,
34,34,"Tue, Dec 28, 2021",7:30p,,Box Score,@,Toronto Raptors,W,,114,109,18,16,W 2,
35,35,"Thu, Dec 30, 2021",7:00p,,Box Score,@,Brooklyn Nets,W,,110,102,19,16,W 3,
36,36,"Mon, Jan 3, 2022",7:00p,,Box Score,,Houston Rockets,W,,133,113,20,16,W 4,
37,37,"Wed, Jan 5, 2022",7:00p,,Box Score,@,Orlando Magic,W,,116,106,21,16,W 5,
38,38,"Fri, Jan 7, 2022",7:00p,,Box Score,,San Antonio Spurs,W,,119,100,22,16,W 6,
39,39,"Mon, Jan 10, 2022",8:00p,,Box Score,@,Houston Rockets,W,,111,91,23,16,W 7,
40,40,"Wed, Jan 12, 2022",7:00p,,Box Score,,Charlotte Hornets,L,,98,109,23,17,L 1,
41,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
42,41,"Fri, Jan 14, 2022",7:00p,,Box Score,,Boston Celtics,W,,111,99,24,17,W 1,
43,42,"Sat, Jan 15, 2022",8:00p,,Box Score,@,Miami Heat,W,,109,98,25,17,W 2,
44,43,"Mon, Jan 17, 2022",2:00p,,Box Score,@,Washington Wizards,L,,98,117,25,18,L 1,
45,44,"Wed, Jan 19, 2022",7:00p,,Box Score,,Orlando Magic,W,,123,110,26,18,W 1,
46,45,"Fri, Jan 21, 2022",7:00p,,Box Score,,Los Angeles Clippers,L,,101,102,26,19,L 1,
47,46,"Sun, Jan 23, 2022",7:00p,,Box Score,@,San Antonio Spurs,W,,115,109,27,19,W 1,
48,47,"Tue, Jan 25, 2022",7:00p,,Box Score,,New Orleans Pelicans,W,,117,107,28,19,W 2,
49,48,"Thu, Jan 27, 2022",7:30p,,Box Score,,Los Angeles Lakers,W,,105,87,29,19,W 3,
50,49,"Sat, Jan 29, 2022",7:30p,,Box Score,,Sacramento Kings,W,,103,101,30,19,W 4,
51,50,"Mon, Jan 31, 2022",7:00p,,Box Score,,Memphis Grizzlies,W,OT,122,119,31,19,W 5,
52,51,"Wed, Feb 2, 2022",7:00p,,Box Score,,Washington Wizards,L,,103,106,31,20,L 1,
53,52,"Fri, Feb 4, 2022",10:00p,,Box Score,@,Dallas Mavericks,L,,98,107,31,21,L 2,
54,53,"Sun, Feb 6, 2022",3:30p,,Box Score,@,Chicago Bulls,W,,119,108,32,21,W 1,
55,54,"Tue, Feb 8, 2022",7:00p,,Box Score,,Phoenix Suns,L,,109,114,32,22,L 1,
56,55,"Fri, Feb 11, 2022",7:00p,,Box Score,,Oklahoma City Thunder,W,,100,87,33,22,W 1,
57,56,"Sat, Feb 12, 2022",7:30p,,Box Score,,Cleveland Cavaliers,W,,103,93,34,22,W 2,
58,57,"Tue, Feb 15, 2022",7:30p,,Box Score,,Boston Celtics,L,,87,135,34,23,L 1,
59,58,"Thu, Feb 17, 2022",8:30p,,Box Score,@,Milwaukee Bucks,W,,123,120,35,23,W 1,
60,59,"Fri, Feb 25, 2022",8:00p,,Box Score,@,Minnesota Timberwolves,W,,133,102,36,23,W 2,
61,60,"Sun, Feb 27, 2022",1:00p,,Box Score,@,New York Knicks,W,,125,109,37,23,W 3,
62,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
63,61,"Wed, Mar 2, 2022",7:30p,,Box Score,,New York Knicks,W,,123,108,38,23,W 4,
64,62,"Fri, Mar 4, 2022",7:00p,,Box Score,,Cleveland Cavaliers,W,,125,119,39,23,W 5,
65,63,"Sat, Mar 5, 2022",8:00p,,Box Score,@,Miami Heat,L,,82,99,39,24,L 1,
66,64,"Mon, Mar 7, 2022",7:00p,,Box Score,,Chicago Bulls,W,,121,106,40,24,W 1,
67,65,"Thu, Mar 10, 2022",7:30p,,Box Score,,Brooklyn Nets,L,,100,129,40,25,L 1,
68,66,"Sun, Mar 13, 2022",6:00p,,Box Score,@,Orlando Magic,W,OT,116,114,41,25,W 1,
69,67,"Mon, Mar 14, 2022",7:30p,,Box Score,,Denver Nuggets,L,,110,114,41,26,L 1,
70,68,"Wed, Mar 16, 2022",7:00p,,Box Score,@,Cleveland Cavaliers,W,,118,114,42,26,W 1,
71,69,"Fri, Mar 18, 2022",7:00p,,Box Score,,Dallas Mavericks,W,,111,101,43,26,W 2,
72,70,"Sun, Mar 20, 2022",8:30p,,Box Score,,Toronto Raptors,L,,88,93,43,27,L 1,
73,71,"Mon, Mar 21, 2022",7:30p,,Box Score,,Miami Heat,W,,113,106,44,27,W 1,
74,72,"Wed, Mar 23, 2022",10:00p,,Box Score,@,Los Angeles Lakers,W,,126,121,45,27,W 2,
75,73,"Fri, Mar 25, 2022",10:30p,,Box Score,@,Los Angeles Clippers,W,,122,97,46,27,W 3,
76,74,"Sun, Mar 27, 2022",6:00p,,Box Score,@,Phoenix Suns,L,,104,114,46,28,L 1,
77,75,"Tue, Mar 29, 2022",7:00p,,Box Score,,Milwaukee Bucks,L,,116,118,46,29,L 2,
78,76,"Thu, Mar 31, 2022",7:00p,,Box Score,@,Detroit Pistons,L,,94,102,46,30,L 3,
79,77,"Sat, Apr 2, 2022",12:30p,,Box Score,,Charlotte Hornets,W,,144,114,47,30,W 1,
80,78,"Sun, Apr 3, 2022",6:00p,,Box Score,@,Cleveland Cavaliers,W,,112,108,48,30,W 2,
81,79,"Tue, Apr 5, 2022",7:00p,,Box Score,@,Indiana Pacers,W,,131,122,49,30,W 3,
82,80,"Thu, Apr 7, 2022",7:30p,,Box Score,@,Toronto Raptors,L,,114,119,49,31,L 1,
83,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
84,81,"Sat, Apr 9, 2022",1:00p,,Box Score,,Indiana Pacers,W,,133,120,50,31,W 1,
85,82,"Sun, Apr 10, 2022",7:00p,,Box Score,,Detroit Pistons,W,,118,106,51,31,W 2,
